Year_Location,Year,LocationAbbr,LocationDesc,Data_Value,Age,State_Tax
1999MA,1999,MA,Massachusetts,19.6,45 to 64 Years,0.76
1999MA,1999,MA,Massachusetts,21.2,25 to 44 Years,0.76
1999MA,1999,MA,Massachusetts,26.3,18 to 24 Years,0.76
2004MA,2004,MA,Massachusetts,8,65 Years and Older,1.51
2004MA,2004,MA,Massachusetts,24.7,18 to 24 Years,1.51
2004MA,2004,MA,Massachusetts,20.8,25 to 44 Years,1.51
2004MA,2004,MA,Massachusetts,19.1,45 to 64 Years,1.51
2007MA,2007,MA,Massachusetts,7.2,65 Years and Older,1.51
2009MA,2009,MA,Massachusetts,15.6,45 to 64 Years,2.51
2009MA,2009,MA,Massachusetts,16.1,25 to 44 Years,2.51
2009MA,2009,MA,Massachusetts,21.1,18 to 24 Years,2.51
2009MA,2009,MA,Massachusetts,7.5,65 Years and Older,2.51
2007MA,2007,MA,Massachusetts,23.6,18 to 24 Years,1.51
2007MA,2007,MA,Massachusetts,18.6,25 to 44 Years,1.51
2007MA,2007,MA,Massachusetts,16.9,45 to 64 Years,1.51
1996MA,1996,MA,Massachusetts,28,18 to 24 Years,0.76
1996MA,1996,MA,Massachusetts,27.2,45 to 64 Years,0.76
1996MA,1996,MA,Massachusetts,23.3,25 to 44 Years,0.76
1996MA,1996,MA,Massachusetts,14.8,65 Years and Older,0.76
2003MA,2003,MA,Massachusetts,17.5,45 to 64 Years,1.51
2003MA,2003,MA,Massachusetts,22.3,25 to 44 Years,1.51
2003MA,2003,MA,Massachusetts,28.1,18 to 24 Years,1.51
2003MA,2003,MA,Massachusetts,9,65 Years and Older,1.51
2002MA,2002,MA,Massachusetts,22.3,25 to 44 Years,1.51
2002MA,2002,MA,Massachusetts,24.2,18 to 24 Years,1.51
2002MA,2002,MA,Massachusetts,8.6,65 Years and Older,1.51
2002MA,2002,MA,Massachusetts,18.7,45 to 64 Years,1.51
2006MA,2006,MA,Massachusetts,26.6,18 to 24 Years,1.51
2006MA,2006,MA,Massachusetts,6.7,65 Years and Older,1.51
2006MA,2006,MA,Massachusetts,19.6,25 to 44 Years,1.51
2006MA,2006,MA,Massachusetts,18.5,45 to 64 Years,1.51
2001MI,2001,MI,Michigan,33.7,18 to 24 Years,0.75
2001MI,2001,MI,Michigan,23.5,45 to 64 Years,0.75
2001MI,2001,MI,Michigan,32.2,25 to 44 Years,0.75
2001MI,2001,MI,Michigan,8.6,65 Years and Older,0.75
2000MI,2000,MI,Michigan,9.6,65 Years and Older,0.75
2000MI,2000,MI,Michigan,30,18 to 24 Years,0.75
2000MI,2000,MI,Michigan,29.9,25 to 44 Years,0.75
2006MI,2006,MI,Michigan,28.1,25 to 44 Years,2
2006MI,2006,MI,Michigan,6.1,65 Years and Older,2
2000MI,2000,MI,Michigan,22.5,45 to 64 Years,0.75
2006MI,2006,MI,Michigan,23.8,45 to 64 Years,2
2006MI,2006,MI,Michigan,24.1,18 to 24 Years,2
2007MI,2007,MI,Michigan,20.1,45 to 64 Years,2
2007MI,2007,MI,Michigan,25.5,25 to 44 Years,2
2007MI,2007,MI,Michigan,29,18 to 24 Years,2
2007MI,2007,MI,Michigan,8.2,65 Years and Older,2
1997MI,1997,MI,Michigan,10.6,65 Years and Older,0.75
1997MI,1997,MI,Michigan,23.6,45 to 64 Years,0.75
1997MI,1997,MI,Michigan,31.8,18 to 24 Years,0.75
1997MI,1997,MI,Michigan,32.6,25 to 44 Years,0.75
2005MI,2005,MI,Michigan,8.1,65 Years and Older,2
2005MI,2005,MI,Michigan,27.3,25 to 44 Years,2
2005MI,2005,MI,Michigan,26.4,18 to 24 Years,2
2005MI,2005,MI,Michigan,21.6,45 to 64 Years,2
1998MI,1998,MI,Michigan,40.6,18 to 24 Years,0.75
1998MI,1998,MI,Michigan,32,25 to 44 Years,0.75
1998MI,1998,MI,Michigan,25.5,45 to 64 Years,0.75
1998MI,1998,MI,Michigan,10.2,65 Years and Older,0.75
2009MI,2009,MI,Michigan,18.7,18 to 24 Years,2
2009MI,2009,MI,Michigan,21.4,45 to 64 Years,2
2009MI,2009,MI,Michigan,24.3,25 to 44 Years,2
2009MI,2009,MI,Michigan,7.7,65 Years and Older,2
2002MI,2002,MI,Michigan,24,45 to 64 Years,1.25
2002MI,2002,MI,Michigan,28.5,25 to 44 Years,1.25
2002MI,2002,MI,Michigan,31.7,18 to 24 Years,1.25
2010MI,2010,MI,Michigan,8,65 Years and Older,2
2004MI,2004,MI,Michigan,22,45 to 64 Years,2
2004MI,2004,MI,Michigan,25.1,25 to 44 Years,2
2004MI,2004,MI,Michigan,40.6,18 to 24 Years,2
2004MI,2004,MI,Michigan,8.5,65 Years and Older,2
2002MI,2002,MI,Michigan,8.6,65 Years and Older,1.25
2003MI,2003,MI,Michigan,7.2,65 Years and Older,1.25
2003MI,2003,MI,Michigan,31,25 to 44 Years,1.25
2003MI,2003,MI,Michigan,24.5,45 to 64 Years,1.25
2003MI,2003,MI,Michigan,39.6,18 to 24 Years,1.25
2008MI,2008,MI,Michigan,7.5,65 Years and Older,2
2008MI,2008,MI,Michigan,25.7,25 to 44 Years,2
2008MI,2008,MI,Michigan,23.7,18 to 24 Years,2
2008MI,2008,MI,Michigan,20.1,45 to 64 Years,2
2010MI,2010,MI,Michigan,23.5,25 to 44 Years,2
2010MI,2010,MI,Michigan,19.9,45 to 64 Years,2
2010MI,2010,MI,Michigan,19.6,18 to 24 Years,2
1999MI,1999,MI,Michigan,22.9,45 to 64 Years,0.75
1999MI,1999,MI,Michigan,30.7,18 to 24 Years,0.75
1999MI,1999,MI,Michigan,31.5,25 to 44 Years,0.75
1999MI,1999,MI,Michigan,9.9,65 Years and Older,0.75
1996MI,1996,MI,Michigan,33.1,18 to 24 Years,0.75
1996MI,1996,MI,Michigan,29.8,25 to 44 Years,0.75
1996MI,1996,MI,Michigan,24.7,45 to 64 Years,0.75
1996MI,1996,MI,Michigan,11.6,65 Years and Older,0.75
2004MN,2004,MN,Minnesota,7.1,65 Years and Older,0.48
2004MN,2004,MN,Minnesota,32.3,18 to 24 Years,0.48
2004MN,2004,MN,Minnesota,23,25 to 44 Years,0.48
2007MN,2007,MN,Minnesota,7.9,65 Years and Older,1.23
2007MN,2007,MN,Minnesota,18.9,25 to 44 Years,1.23
2007MN,2007,MN,Minnesota,16.7,45 to 64 Years,1.23
2007MN,2007,MN,Minnesota,19.5,18 to 24 Years,1.23
2009MN,2009,MN,Minnesota,7.7,65 Years and Older,1.23
2009MN,2009,MN,Minnesota,17.2,45 to 64 Years,1.23
2009MN,2009,MN,Minnesota,18,25 to 44 Years,1.23
2009MN,2009,MN,Minnesota,23.7,18 to 24 Years,1.23
2004MN,2004,MN,Minnesota,20,45 to 64 Years,0.48
2000MN,2000,MN,Minnesota,18.2,45 to 64 Years,0.48
2000MN,2000,MN,Minnesota,22.8,25 to 44 Years,0.48
2000MN,2000,MN,Minnesota,30.9,18 to 24 Years,0.48
2000MN,2000,MN,Minnesota,7.6,65 Years and Older,0.48
1997MN,1997,MN,Minnesota,29.3,18 to 24 Years,0.48
1997MN,1997,MN,Minnesota,23.7,25 to 44 Years,0.48
1997MN,1997,MN,Minnesota,22.8,45 to 64 Years,0.48
1997MN,1997,MN,Minnesota,10.9,65 Years and Older,0.48
2001MN,2001,MN,Minnesota,19.3,45 to 64 Years,0.48
2001MN,2001,MN,Minnesota,25.2,25 to 44 Years,0.48
2001MN,2001,MN,Minnesota,38.4,18 to 24 Years,0.48
2001MN,2001,MN,Minnesota,8.6,65 Years and Older,0.48
1999MN,1999,MN,Minnesota,9.7,65 Years and Older,0.48
1999MN,1999,MN,Minnesota,28.5,18 to 24 Years,0.48
1999MN,1999,MN,Minnesota,21.3,25 to 44 Years,0.48
1999MN,1999,MN,Minnesota,19,45 to 64 Years,0.48
2003MN,2003,MN,Minnesota,19.2,45 to 64 Years,0.48
2003MN,2003,MN,Minnesota,22.9,25 to 44 Years,0.48
2003MN,2003,MN,Minnesota,36.7,18 to 24 Years,0.48
2003MN,2003,MN,Minnesota,8.1,65 Years and Older,0.48
2005MN,2005,MN,Minnesota,8.2,65 Years and Older,1.23
2002MN,2002,MN,Minnesota,8.6,65 Years and Older,0.48
2002MN,2002,MN,Minnesota,30.7,18 to 24 Years,0.48
2002MN,2002,MN,Minnesota,25,25 to 44 Years,0.48
2002MN,2002,MN,Minnesota,20.5,45 to 64 Years,0.48
2008MN,2008,MN,Minnesota,17.9,45 to 64 Years,1.23
2008MN,2008,MN,Minnesota,19.8,25 to 44 Years,1.23
2008MN,2008,MN,Minnesota,23.7,18 to 24 Years,1.23
2008MN,2008,MN,Minnesota,6.9,65 Years and Older,1.23
2005MN,2005,MN,Minnesota,18.6,45 to 64 Years,1.23
2005MN,2005,MN,Minnesota,23.3,25 to 44 Years,1.23
2005MN,2005,MN,Minnesota,28.7,18 to 24 Years,1.23
1998MN,1998,MN,Minnesota,22,18 to 24 Years,0.48
1998MN,1998,MN,Minnesota,19.1,45 to 64 Years,0.48
1998MN,1998,MN,Minnesota,19,25 to 44 Years,0.48
1998MN,1998,MN,Minnesota,11,65 Years and Older,0.48
1996MN,1996,MN,Minnesota,8.9,65 Years and Older,0.48
1996MN,1996,MN,Minnesota,29.6,18 to 24 Years,0.48
1996MN,1996,MN,Minnesota,20.4,45 to 64 Years,0.48
1996MN,1996,MN,Minnesota,23,25 to 44 Years,0.48
2006MN,2006,MN,Minnesota,6,65 Years and Older,1.23
2006MN,2006,MN,Minnesota,27.4,18 to 24 Years,1.23
2006MN,2006,MN,Minnesota,18.1,45 to 64 Years,1.23
2006MN,2006,MN,Minnesota,20.6,25 to 44 Years,1.23
2010MN,2010,MN,Minnesota,12.2,18 to 24 Years,1.23
2010MN,2010,MN,Minnesota,15.6,45 to 64 Years,1.23
2010MN,2010,MN,Minnesota,18.4,25 to 44 Years,1.23
2010MN,2010,MN,Minnesota,8.4,65 Years and Older,1.23
2009MS,2009,MS,Mississippi,10,65 Years and Older,0.555
1997MS,1997,MS,Mississippi,25.7,45 to 64 Years,0.18
1997MS,1997,MS,Mississippi,26.4,25 to 44 Years,0.18
2005MS,2005,MS,Mississippi,11.1,65 Years and Older,0.18
2005MS,2005,MS,Mississippi,25.5,25 to 44 Years,0.18
2005MS,2005,MS,Mississippi,26.3,18 to 24 Years,0.18
2005MS,2005,MS,Mississippi,27,45 to 64 Years,0.18
2008MS,2008,MS,Mississippi,10.8,65 Years and Older,0.18
2003MS,2003,MS,Mississippi,30.5,18 to 24 Years,0.18
2003MS,2003,MS,Mississippi,29.2,45 to 64 Years,0.18
2003MS,2003,MS,Mississippi,27.8,25 to 44 Years,0.18
2003MS,2003,MS,Mississippi,10.3,65 Years and Older,0.18
2006MS,2006,MS,Mississippi,11.1,65 Years and Older,0.18
2002MS,2002,MS,Mississippi,36.8,18 to 24 Years,0.18
2002MS,2002,MS,Mississippi,31.5,25 to 44 Years,0.18
2002MS,2002,MS,Mississippi,24.8,45 to 64 Years,0.18
2002MS,2002,MS,Mississippi,14,65 Years and Older,0.18
2006MS,2006,MS,Mississippi,29.3,25 to 44 Years,0.18
2006MS,2006,MS,Mississippi,27.9,18 to 24 Years,0.18
2006MS,2006,MS,Mississippi,26.3,45 to 64 Years,0.18
2008MS,2008,MS,Mississippi,24.3,25 to 44 Years,0.18
2008MS,2008,MS,Mississippi,25.5,45 to 64 Years,0.18
2008MS,2008,MS,Mississippi,27.4,18 to 24 Years,0.18
2010MS,2010,MS,Mississippi,9.2,65 Years and Older,0.68
2010MS,2010,MS,Mississippi,32.7,18 to 24 Years,0.68
2004MS,2004,MS,Mississippi,29,18 to 24 Years,0.18
2010MS,2010,MS,Mississippi,23.6,45 to 64 Years,0.68
2009MS,2009,MS,Mississippi,27.7,25 to 44 Years,0.555
2009MS,2009,MS,Mississippi,25.5,18 to 24 Years,0.555
2009MS,2009,MS,Mississippi,24.7,45 to 64 Years,0.555
2007MS,2007,MS,Mississippi,11.1,65 Years and Older,0.18
2007MS,2007,MS,Mississippi,24.7,45 to 64 Years,0.18
2007MS,2007,MS,Mississippi,26.6,25 to 44 Years,0.18
2007MS,2007,MS,Mississippi,30.8,18 to 24 Years,0.18
1997MS,1997,MS,Mississippi,24,18 to 24 Years,0.18
1997MS,1997,MS,Mississippi,11.5,65 Years and Older,0.18
2010MS,2010,MS,Mississippi,26.1,25 to 44 Years,0.68
2004MS,2004,MS,Mississippi,25.1,45 to 64 Years,0.18
2004MS,2004,MS,Mississippi,10.4,65 Years and Older,0.18
2004MS,2004,MS,Mississippi,28.7,25 to 44 Years,0.18
2000MS,2000,MS,Mississippi,32.8,18 to 24 Years,0.18
2000MS,2000,MS,Mississippi,24.7,45 to 64 Years,0.18
2000MS,2000,MS,Mississippi,24.5,25 to 44 Years,0.18
2000MS,2000,MS,Mississippi,11.6,65 Years and Older,0.18
2001MS,2001,MS,Mississippi,33.4,18 to 24 Years,0.18
2001MS,2001,MS,Mississippi,11.7,65 Years and Older,0.18
2001MS,2001,MS,Mississippi,27.8,25 to 44 Years,0.18
2001MS,2001,MS,Mississippi,26.5,45 to 64 Years,0.18
1998MS,1998,MS,Mississippi,9.3,65 Years and Older,0.18
1998MS,1998,MS,Mississippi,27.9,45 to 64 Years,0.18
1998MS,1998,MS,Mississippi,27.4,25 to 44 Years,0.18
1998MS,1998,MS,Mississippi,26.3,18 to 24 Years,0.18
1996MS,1996,MS,Mississippi,30.1,25 to 44 Years,0.18
1996MS,1996,MS,Mississippi,21.8,45 to 64 Years,0.18
1996MS,1996,MS,Mississippi,20.5,18 to 24 Years,0.18
1996MS,1996,MS,Mississippi,12.3,65 Years and Older,0.18
1999MS,1999,MS,Mississippi,12.9,65 Years and Older,0.18
1999MS,1999,MS,Mississippi,20.7,18 to 24 Years,0.18
1999MS,1999,MS,Mississippi,26,25 to 44 Years,0.18
1999MS,1999,MS,Mississippi,26.5,45 to 64 Years,0.18
2004MO,2004,MO,Missouri,9.8,65 Years and Older,0.17
2006MO,2006,MO,Missouri,27.8,25 to 44 Years,0.17
2004MO,2004,MO,Missouri,31.1,18 to 24 Years,0.17
2004MO,2004,MO,Missouri,29.2,25 to 44 Years,0.17
2008MO,2008,MO,Missouri,11.1,65 Years and Older,0.17
2008MO,2008,MO,Missouri,24.4,45 to 64 Years,0.17
2008MO,2008,MO,Missouri,30.6,25 to 44 Years,0.17
2008MO,2008,MO,Missouri,30.8,18 to 24 Years,0.17
1999MO,1999,MO,Missouri,28.1,45 to 64 Years,0.17
1999MO,1999,MO,Missouri,13.8,65 Years and Older,0.17
1996MO,1996,MO,Missouri,15.4,65 Years and Older,0.17
1996MO,1996,MO,Missouri,27.1,45 to 64 Years,0.17
1996MO,1996,MO,Missouri,29.7,18 to 24 Years,0.17
1996MO,1996,MO,Missouri,33.7,25 to 44 Years,0.17
2000MO,2000,MO,Missouri,28.3,45 to 64 Years,0.17
2000MO,2000,MO,Missouri,30.4,25 to 44 Years,0.17
2000MO,2000,MO,Missouri,13.7,65 Years and Older,0.17
2006MO,2006,MO,Missouri,24.3,45 to 64 Years,0.17
2006MO,2006,MO,Missouri,28.6,18 to 24 Years,0.17
1997MO,1997,MO,Missouri,32.7,18 to 24 Years,0.17
2002MO,2002,MO,Missouri,30.2,18 to 24 Years,0.17
2005MO,2005,MO,Missouri,27.7,25 to 44 Years,0.17
2005MO,2005,MO,Missouri,9.2,65 Years and Older,0.17
2005MO,2005,MO,Missouri,23.2,18 to 24 Years,0.17
2005MO,2005,MO,Missouri,26.6,45 to 64 Years,0.17
1997MO,1997,MO,Missouri,10.3,65 Years and Older,0.17
1997MO,1997,MO,Missouri,33,45 to 64 Years,0.17
1997MO,1997,MO,Missouri,33.6,25 to 44 Years,0.17
2006MO,2006,MO,Missouri,8.7,65 Years and Older,0.17
1998MO,1998,MO,Missouri,12.1,65 Years and Older,0.17
1998MO,1998,MO,Missouri,27.3,45 to 64 Years,0.17
1998MO,1998,MO,Missouri,30.5,25 to 44 Years,0.17
1998MO,1998,MO,Missouri,33.8,18 to 24 Years,0.17
2002MO,2002,MO,Missouri,24,45 to 64 Years,0.17
2002MO,2002,MO,Missouri,12.1,65 Years and Older,0.17
2009MO,2009,MO,Missouri,9.7,65 Years and Older,0.17
2004MO,2004,MO,Missouri,23.4,45 to 64 Years,0.17
2009MO,2009,MO,Missouri,25.9,45 to 64 Years,0.17
2009MO,2009,MO,Missouri,26.3,25 to 44 Years,0.17
2009MO,2009,MO,Missouri,26.7,18 to 24 Years,0.17
2003MO,2003,MO,Missouri,10.8,65 Years and Older,0.17
2003MO,2003,MO,Missouri,32.7,18 to 24 Years,0.17
2003MO,2003,MO,Missouri,32.5,25 to 44 Years,0.17
2003MO,2003,MO,Missouri,28.8,45 to 64 Years,0.17
2002MO,2002,MO,Missouri,34.3,25 to 44 Years,0.17
2000MO,2000,MO,Missouri,35.9,18 to 24 Years,0.17
2001MO,2001,MO,Missouri,25.2,45 to 64 Years,0.17
2007MO,2007,MO,Missouri,10.2,65 Years and Older,0.17
2007MO,2007,MO,Missouri,24,45 to 64 Years,0.17
2007MO,2007,MO,Missouri,29,25 to 44 Years,0.17
2007MO,2007,MO,Missouri,33.5,18 to 24 Years,0.17
2001MO,2001,MO,Missouri,10.4,65 Years and Older,0.17
2001MO,2001,MO,Missouri,31,25 to 44 Years,0.17
2001MO,2001,MO,Missouri,35.7,18 to 24 Years,0.17
2010MO,2010,MO,Missouri,20.7,18 to 24 Years,0.17
2010MO,2010,MO,Missouri,23.6,45 to 64 Years,0.17
2010MO,2010,MO,Missouri,24.5,25 to 44 Years,0.17
2010MO,2010,MO,Missouri,9.9,65 Years and Older,0.17
1999MO,1999,MO,Missouri,32.4,18 to 24 Years,0.17
1999MO,1999,MO,Missouri,31.3,25 to 44 Years,0.17
2008MT,2008,MT,Montana,23.2,18 to 24 Years,1.7
2008MT,2008,MT,Montana,21.8,25 to 44 Years,1.7
2008MT,2008,MT,Montana,19.3,45 to 64 Years,1.7
2007MT,2007,MT,Montana,8.8,65 Years and Older,1.7
2007MT,2007,MT,Montana,29.8,18 to 24 Years,1.7
2007MT,2007,MT,Montana,21.4,25 to 44 Years,1.7
2007MT,2007,MT,Montana,19.8,45 to 64 Years,1.7
2006MT,2006,MT,Montana,8.9,65 Years and Older,1.7
2006MT,2006,MT,Montana,26.8,18 to 24 Years,1.7
2006MT,2006,MT,Montana,22.7,25 to 44 Years,1.7
2006MT,2006,MT,Montana,17.9,45 to 64 Years,1.7
1998MT,1998,MT,Montana,12.4,65 Years and Older,0.18
1998MT,1998,MT,Montana,21.7,25 to 44 Years,0.18
1998MT,1998,MT,Montana,26.6,45 to 64 Years,0.18
1998MT,1998,MT,Montana,22.6,18 to 24 Years,0.18
2005MT,2005,MT,Montana,8,65 Years and Older,1.7
2005MT,2005,MT,Montana,19.1,45 to 64 Years,1.7
2005MT,2005,MT,Montana,23.1,25 to 44 Years,1.7
2005MT,2005,MT,Montana,25.1,18 to 24 Years,1.7
2009MT,2009,MT,Montana,7.8,65 Years and Older,1.7
2009MT,2009,MT,Montana,21.9,18 to 24 Years,1.7
2009MT,2009,MT,Montana,17.3,45 to 64 Years,1.7
2009MT,2009,MT,Montana,19.7,25 to 44 Years,1.7
2004MT,2004,MT,Montana,21.3,45 to 64 Years,0.7
2004MT,2004,MT,Montana,21.3,25 to 44 Years,0.7
2004MT,2004,MT,Montana,30.1,18 to 24 Years,0.7
2004MT,2004,MT,Montana,9.7,65 Years and Older,0.7
1996MT,1996,MT,Montana,27.6,18 to 24 Years,0.18
1996MT,1996,MT,Montana,23.8,25 to 44 Years,0.18
1996MT,1996,MT,Montana,21.9,45 to 64 Years,0.18
1996MT,1996,MT,Montana,13.5,65 Years and Older,0.18
2003MT,2003,MT,Montana,26.5,18 to 24 Years,0.7
2003MT,2003,MT,Montana,8.2,65 Years and Older,0.7
2003MT,2003,MT,Montana,20.8,45 to 64 Years,0.7
2003MT,2003,MT,Montana,22.8,25 to 44 Years,0.7
1997MT,1997,MT,Montana,23.1,45 to 64 Years,0.18
1997MT,1997,MT,Montana,22.5,25 to 44 Years,0.18
1997MT,1997,MT,Montana,22.2,18 to 24 Years,0.18
1997MT,1997,MT,Montana,11.3,65 Years and Older,0.18
2002MT,2002,MT,Montana,12.8,65 Years and Older,0.18
2002MT,2002,MT,Montana,22.1,45 to 64 Years,0.18
2002MT,2002,MT,Montana,22.7,25 to 44 Years,0.18
2002MT,2002,MT,Montana,27,18 to 24 Years,0.18
2010MT,2010,MT,Montana,9,65 Years and Older,1.7
2010MT,2010,MT,Montana,24.9,18 to 24 Years,1.7
2010MT,2010,MT,Montana,23.1,25 to 44 Years,1.7
2010MT,2010,MT,Montana,18.2,45 to 64 Years,1.7
2001MT,2001,MT,Montana,11.2,65 Years and Older,0.18
2001MT,2001,MT,Montana,23,25 to 44 Years,0.18
2001MT,2001,MT,Montana,23.3,45 to 64 Years,0.18
2001MT,2001,MT,Montana,31.5,18 to 24 Years,0.18
1999MT,1999,MT,Montana,10.9,65 Years and Older,0.18
1999MT,1999,MT,Montana,19.1,45 to 64 Years,0.18
1999MT,1999,MT,Montana,28.8,18 to 24 Years,0.18
1999MT,1999,MT,Montana,23.2,25 to 44 Years,0.18
2000MT,2000,MT,Montana,10.3,65 Years and Older,0.18
2000MT,2000,MT,Montana,21.5,25 to 44 Years,0.18
2000MT,2000,MT,Montana,21.3,45 to 64 Years,0.18
2000MT,2000,MT,Montana,17.6,18 to 24 Years,0.18
2008MT,2008,MT,Montana,8.3,65 Years and Older,1.7
2009NE,2009,NE,Nebraska,6.8,65 Years and Older,0.64
2009NE,2009,NE,Nebraska,20,25 to 44 Years,0.64
2009NE,2009,NE,Nebraska,18.1,18 to 24 Years,0.64
2009NE,2009,NE,Nebraska,17.8,45 to 64 Years,0.64
2004NE,2004,NE,Nebraska,22.6,25 to 44 Years,0.64
2008NE,2008,NE,Nebraska,20.5,25 to 44 Years,0.64
2008NE,2008,NE,Nebraska,7.7,65 Years and Older,0.64
2008NE,2008,NE,Nebraska,27.6,18 to 24 Years,0.64
2000NE,2000,NE,Nebraska,20.8,45 to 64 Years,0.34
2000NE,2000,NE,Nebraska,24.4,25 to 44 Years,0.34
2000NE,2000,NE,Nebraska,34.2,18 to 24 Years,0.34
2000NE,2000,NE,Nebraska,7.8,65 Years and Older,0.34
2004NE,2004,NE,Nebraska,22.5,45 to 64 Years,0.64
2004NE,2004,NE,Nebraska,25.8,18 to 24 Years,0.64
2004NE,2004,NE,Nebraska,7.8,65 Years and Older,0.64
2010NE,2010,NE,Nebraska,16.9,45 to 64 Years,0.64
2010NE,2010,NE,Nebraska,19.7,25 to 44 Years,0.64
2010NE,2010,NE,Nebraska,25.5,18 to 24 Years,0.64
2001NE,2001,NE,Nebraska,9.3,65 Years and Older,0.34
2001NE,2001,NE,Nebraska,28.5,18 to 24 Years,0.34
2001NE,2001,NE,Nebraska,23.9,25 to 44 Years,0.34
2001NE,2001,NE,Nebraska,19.4,45 to 64 Years,0.34
1999NE,1999,NE,Nebraska,10.4,65 Years and Older,0.34
1999NE,1999,NE,Nebraska,22.4,45 to 64 Years,0.34
1999NE,1999,NE,Nebraska,27.1,25 to 44 Years,0.34
1999NE,1999,NE,Nebraska,34.1,18 to 24 Years,0.34
2010NE,2010,NE,Nebraska,7.7,65 Years and Older,0.64
2007NE,2007,NE,Nebraska,7.8,65 Years and Older,0.64
2007NE,2007,NE,Nebraska,26.1,18 to 24 Years,0.64
2007NE,2007,NE,Nebraska,23.4,25 to 44 Years,0.64
2007NE,2007,NE,Nebraska,20.4,45 to 64 Years,0.64
1997NE,1997,NE,Nebraska,10.8,65 Years and Older,0.34
1997NE,1997,NE,Nebraska,22.5,45 to 64 Years,0.34
1997NE,1997,NE,Nebraska,25,25 to 44 Years,0.34
2005NE,2005,NE,Nebraska,21.1,45 to 64 Years,0.64
2005NE,2005,NE,Nebraska,23.7,25 to 44 Years,0.64
2005NE,2005,NE,Nebraska,32.9,18 to 24 Years,0.64
2005NE,2005,NE,Nebraska,7.5,65 Years and Older,0.64
1997NE,1997,NE,Nebraska,30.5,18 to 24 Years,0.34
1998NE,1998,NE,Nebraska,23.9,25 to 44 Years,0.34
1998NE,1998,NE,Nebraska,11.3,65 Years and Older,0.34
1998NE,1998,NE,Nebraska,21.8,45 to 64 Years,0.34
1998NE,1998,NE,Nebraska,33.9,18 to 24 Years,0.34
2006NE,2006,NE,Nebraska,8.1,65 Years and Older,0.64
2006NE,2006,NE,Nebraska,23.7,25 to 44 Years,0.64
2006NE,2006,NE,Nebraska,18.9,45 to 64 Years,0.64
2003NE,2003,NE,Nebraska,20.9,45 to 64 Years,0.64
2003NE,2003,NE,Nebraska,24.7,25 to 44 Years,0.64
2003NE,2003,NE,Nebraska,29.6,18 to 24 Years,0.64
1996NE,1996,NE,Nebraska,10.8,65 Years and Older,0.34
1996NE,1996,NE,Nebraska,21.2,45 to 64 Years,0.34
2006NE,2006,NE,Nebraska,18.8,18 to 24 Years,0.64
1996NE,1996,NE,Nebraska,29.9,18 to 24 Years,0.34
1996NE,1996,NE,Nebraska,25.7,25 to 44 Years,0.34
2008NE,2008,NE,Nebraska,18.4,45 to 64 Years,0.64
2003NE,2003,NE,Nebraska,8.8,65 Years and Older,0.64
2002NE,2002,NE,Nebraska,10.6,65 Years and Older,0.64
2002NE,2002,NE,Nebraska,23.3,45 to 64 Years,0.64
2002NE,2002,NE,Nebraska,25.2,25 to 44 Years,0.64
2002NE,2002,NE,Nebraska,30.7,18 to 24 Years,0.64
1999NV,1999,NV,Nevada,32.5,45 to 64 Years,0.35
1999NV,1999,NV,Nevada,22.8,65 Years and Older,0.35
1999NV,1999,NV,Nevada,32.3,25 to 44 Years,0.35
1999NV,1999,NV,Nevada,38.8,18 to 24 Years,0.35
2001NV,2001,NV,Nevada,28,45 to 64 Years,0.35
2001NV,2001,NV,Nevada,30.3,25 to 44 Years,0.35
2001NV,2001,NV,Nevada,29.5,18 to 24 Years,0.35
2001NV,2001,NV,Nevada,14.7,65 Years and Older,0.35
2003NV,2003,NV,Nevada,29.2,45 to 64 Years,0.8
2003NV,2003,NV,Nevada,25.1,25 to 44 Years,0.8
2003NV,2003,NV,Nevada,25.6,18 to 24 Years,0.8
2003NV,2003,NV,Nevada,16.4,65 Years and Older,0.8
2002NV,2002,NV,Nevada,36.2,18 to 24 Years,0.35
2002NV,2002,NV,Nevada,27.2,25 to 44 Years,0.35
2002NV,2002,NV,Nevada,25.4,45 to 64 Years,0.35
2002NV,2002,NV,Nevada,15.3,65 Years and Older,0.35
1997NV,1997,NV,Nevada,23.5,65 Years and Older,0.35
2000NV,2000,NV,Nevada,15.7,65 Years and Older,0.35
2000NV,2000,NV,Nevada,28.9,25 to 44 Years,0.35
2000NV,2000,NV,Nevada,39.5,18 to 24 Years,0.35
2000NV,2000,NV,Nevada,32.4,45 to 64 Years,0.35
2006NV,2006,NV,Nevada,29.5,18 to 24 Years,0.8
2006NV,2006,NV,Nevada,28.1,45 to 64 Years,0.8
2006NV,2006,NV,Nevada,19.1,25 to 44 Years,0.8
2006NV,2006,NV,Nevada,12,65 Years and Older,0.8
1998NV,1998,NV,Nevada,15.6,65 Years and Older,0.35
1998NV,1998,NV,Nevada,31.3,45 to 64 Years,0.35
1998NV,1998,NV,Nevada,45.4,18 to 24 Years,0.35
1997NV,1997,NV,Nevada,24.1,18 to 24 Years,0.35
1997NV,1997,NV,Nevada,27.9,25 to 44 Years,0.35
1997NV,1997,NV,Nevada,31,45 to 64 Years,0.35
1998NV,1998,NV,Nevada,31.7,25 to 44 Years,0.35
2005NV,2005,NV,Nevada,26,45 to 64 Years,0.8
